species,longitude,latitude
Rubus chamaemorus,4668072.036,4037208.428
Rubus chamaemorus,4678256.196,4159148.367
Rubus chamaemorus,4430008.224,4127235.017
Rubus chamaemorus,4279124.279,4227411.135
Rubus chamaemorus,4644161.452,3724901.026
Rubus chamaemorus,4670428.957,4438995.972
Rubus chamaemorus,4466350.746,4475777.572
Rubus chamaemorus,4178145.835,4280416.144
Rubus chamaemorus,4691895.432,4223625.072
Rubus chamaemorus,4694246.903,4605587.982
Rubus chamaemorus,4697569.761,4039817.285
Rubus chamaemorus,4223135.703,3958408.749
Rubus chamaemorus,4857865.794,5144278.015
Rubus chamaemorus,4698080.994,5164316.156
Rubus chamaemorus,4519146.83,4577126.52
Rubus chamaemorus,4495549.613,4629250.168
Rubus chamaemorus,4399014.177,4400982.71
Rubus chamaemorus,4364415.539,4477127.949
Rubus chamaemorus,4493217.236,4359413.839
Rubus chamaemorus,4628520.42,5137786.672
Rubus chamaemorus,4578487.144,3620193.573
Rubus chamaemorus,4673469.605,3687113.988
Rubus chamaemorus,4162722.945,4028292.205
Rubus chamaemorus,4414043.031,4602418.765
Rubus chamaemorus,4726431.936000001,4067200.678
Rubus chamaemorus,4485186.434,3882054.0279999995
Rubus chamaemorus,4813975.131,5201007.282999999
Rubus chamaemorus,4587759.04,4400800.382
Rubus chamaemorus,4541915.621,4546248.852
Rubus chamaemorus,4329835.593,4032263.604
Rubus chamaemorus,4587335.839,3740335.489
Rubus chamaemorus,4552720.31,5085818.933
Rubus chamaemorus,4725752.122,5092844.804
Rubus chamaemorus,4454451.305,4679949.056
Rubus chamaemorus,4551623.366,4617479.301
Rubus chamaemorus,4485775.883,4607931.825
Rubus chamaemorus,4279148.94,4331498.734
Rubus chamaemorus,4166601.782,4383883.003
Rubus chamaemorus,4248995.959,3970205.964
Rubus chamaemorus,4251054.594,4042334.3259999994
Rubus chamaemorus,4530844.935,3935328.06
Rubus chamaemorus,4434932.676,4722160.653
Rubus chamaemorus,4722832.31,4636260.097
Rubus chamaemorus,4206082.64,4396596.917
Rubus chamaemorus,4686617.629,4173575.087
Rubus chamaemorus,4611088.732,4113078.9460000005
Rubus chamaemorus,4348146.013,4543965.998
Rubus chamaemorus,4752239.154,3989192.562
Rubus chamaemorus,4704284.652,4799294.749999999
Rubus chamaemorus,4588818.031,3785825.698
Rubus chamaemorus,4506818.741,4153288.618
Rubus chamaemorus,4455329.572,4247506.193
Rubus chamaemorus,4452018.746,4208222.677
Rubus chamaemorus,4633250.211,5156794.961
Rubus chamaemorus,4591067.592,3821596.42
Rubus chamaemorus,4615120.142,3721598.223
Rubus chamaemorus,4370224.637,4404296.979
Rubus chamaemorus,4594758.759,4186647.548
Rubus chamaemorus,4397850.377,4419284.694
Rubus chamaemorus,4354630.917,4328566.516
Rubus chamaemorus,4609685.922,3842708.254
Rubus chamaemorus,4676630.6,3712661.302
Rubus chamaemorus,4657728.094,4041902.678
Rubus chamaemorus,4498112.948,3848254.199
Rubus chamaemorus,4332518.793,4189364.04
Rubus chamaemorus,4869472.121000001,5052841.731
Rubus chamaemorus,4060911.658,4286915.163
Rubus chamaemorus,4122286.1269999994,4096440.393
Rubus chamaemorus,4493107.557,4078139.4
Rubus chamaemorus,4525631.865,4509879.745
Rubus chamaemorus,4772872.834,4162107.987
Rubus chamaemorus,4890918.291,4853833.385
Rubus chamaemorus,4648899.308,4736030.617
Rubus chamaemorus,4533059.409,4306351.078
Rubus chamaemorus,4215665.193,4147098.533
Rubus chamaemorus,4488297.197,4307110.417
Rubus chamaemorus,4641767.359,3755016.046
Rubus chamaemorus,4310597.185,4331691.787
Rubus chamaemorus,4713063.244,3790612.312999999
Rubus chamaemorus,4620587.481,4068964.614
Rubus chamaemorus,4586726.941,3696078.144
Rubus chamaemorus,4640512.678,4470498.081
Rubus chamaemorus,4415155.179,4592692.104
Rubus chamaemorus,4239561.251,4023967.783
Rubus chamaemorus,4169449.382,4243964.523
Rubus chamaemorus,4480453.775,4806212.499
Rubus chamaemorus,4706108.46,4531736.021
Rubus chamaemorus,4835144.353,5327212.349
Rubus chamaemorus,4729952.567,4877007.157
Rubus chamaemorus,4526639.041,4371691.683
Rubus chamaemorus,4671928.436,3806953.152
Rubus chamaemorus,4728823.186,4087233.787
Rubus chamaemorus,4887061.5,4834220.287
Rubus chamaemorus,4688013.09,4029006.444
Rubus chamaemorus,4612831.828,4747799.327
Rubus chamaemorus,4170551.68,4415366.887
Rubus chamaemorus,4398508.362,4261183.396
Rubus chamaemorus,4105284.527,4332142.716
Rubus chamaemorus,4789303.113999999,4986570.033
Rubus chamaemorus,4221578.425,4286340.05
Rubus chamaemorus,4411016.974,4228235.576
Rubus chamaemorus,4325773.043,4373789.533
Rubus chamaemorus,4378130.414,4404976.487
Rubus chamaemorus,4601406.175,3985883.139
Rubus chamaemorus,4680639.148,3707739.706
Rubus chamaemorus,4830128.728,4810572.626
Rubus chamaemorus,4935237.28,5339846.368
Rubus chamaemorus,4490314.739,3872980.380000001
Rubus chamaemorus,4717597.175,5137512.950999999
Rubus chamaemorus,4464497.282,4747361.257
Rubus chamaemorus,4836461.252,5326718.855
Rubus chamaemorus,4607812.279,3916716.382
Rubus chamaemorus,4612507.037,3797207.9349999996
Rubus chamaemorus,4216171.396,3918815.804
Rubus chamaemorus,4414920.672,4592594.632
Rubus chamaemorus,4280025.477,4053031.687
Rubus chamaemorus,4433328.196,4228050.497
Rubus chamaemorus,4625175.411,4704909.766
Rubus chamaemorus,4616047.711,3690396.099
Rubus chamaemorus,4831174.427,4958458.383
Rubus chamaemorus,4513986.408,4190028.815
Rubus chamaemorus,4240871.484,4047634.0759999994
Rubus chamaemorus,4741680.425,5167420.863
Rubus chamaemorus,4692935.589,4605185.186
Rubus chamaemorus,4284318.95,4126486.293
Rubus chamaemorus,4507575.161,4624338.342
Rubus chamaemorus,4639364.894,4130389.522
Rubus chamaemorus,4452598.483,3837069.693
Rubus chamaemorus,4401524.027,4625634.251
Rubus chamaemorus,4834747.399,4974708.6729999995
Rubus chamaemorus,4884842.922,4962276.573
Rubus chamaemorus,4717453.538,5123382.92
Rubus chamaemorus,4183801.403,4383688.109
Rubus chamaemorus,4523720.449,3665738.557
Rubus chamaemorus,4374991.598,4230940.997
Rubus chamaemorus,4594173.096,4070301.1990000005
Rubus chamaemorus,4392385.266,4410806.256
Rubus chamaemorus,4470231.762,3771970.195
Rubus chamaemorus,4597812.755,3795369
Rubus chamaemorus,4694907.247,4185957.374
Rubus chamaemorus,4177697.035,4090217.786
Rubus chamaemorus,4773127.539,4160903.501
Rubus chamaemorus,4676937.4,4558219.249
Rubus chamaemorus,4709191.237,3896060.51
Rubus chamaemorus,4909592.98,5163471.293
Rubus chamaemorus,4618645.337,5155448.521
Rubus chamaemorus,4890431.667,5327048.285
Rubus chamaemorus,4411301.661,4501716.987
Rubus chamaemorus,4558803.358,4149733.576
Rubus chamaemorus,4520452.7,3890254.828
Rubus chamaemorus,4678559.708,3737249.594
Rubus chamaemorus,4624754.145,3902773.505
Rubus chamaemorus,4271278.448,4114994.024
Rubus chamaemorus,4575467.011,4385913.521
Rubus chamaemorus,4802484.594,5030993.442
Rubus chamaemorus,4487775.26,3851431.897
Rubus chamaemorus,4500441.27,3709103.247
Rubus chamaemorus,4854184.366,5065939.131
Rubus chamaemorus,4422227.605,4065964.579
Rubus chamaemorus,4772685.142,5168605.748
Rubus chamaemorus,4528635.428,4520916.532
Rubus chamaemorus,4757942.505,4654657.389
Rubus chamaemorus,4894570.225,4799198.359
Rubus chamaemorus,4580761.742,5057624.431999999
Rubus chamaemorus,4210207.741,4016387.61
Rubus chamaemorus,4986858.286,5317881.786
Rubus chamaemorus,4698571.502,5226435.9
Rubus chamaemorus,4361416.858,4563094.599
Rubus chamaemorus,4686550.612,5078329.678
Rubus chamaemorus,4905062.458,4870364.253999999
Rubus chamaemorus,4401013.23,4645787.765
Rubus chamaemorus,4682973.279,4098891.243
Rubus chamaemorus,4846430.877,4930460.683
Rubus chamaemorus,4764012.565,4864128.86
Rubus chamaemorus,4273303.046,4234533.451
Rubus chamaemorus,4600665.436,4242715.638
Rubus chamaemorus,4605667.419,3836570.522
Rubus chamaemorus,4135990.94,4167546.146
Rubus chamaemorus,4636699.094,3868684.226
Rubus chamaemorus,4406752.102,4000132.68
Rubus chamaemorus,4464732.969,4812090.571
Rubus chamaemorus,4527850.243,4940238.522
