species,longitude,latitude
Rubus chamaemorus,4645297.384,5096782.474
Rubus chamaemorus,4670426.11,5019125.167
Rubus chamaemorus,5105379.290999999,4501998.223
Rubus chamaemorus,4404801.874,4129989.192
Rubus chamaemorus,4949836.105000001,4565846.45
Rubus chamaemorus,5204428.218,4111162.014
Rubus chamaemorus,5021656.368999999,5356303.203
Rubus chamaemorus,4926268.416,5003487.689
Rubus chamaemorus,4471009.155,4454581.37
Rubus chamaemorus,4430942.524,4295960.058
Rubus chamaemorus,4765739.75,5162767.171
Rubus chamaemorus,4875547.55,5170946.921
Rubus chamaemorus,4204938.398,3972434.65
Rubus chamaemorus,5019457.322999999,4684407.255
Rubus chamaemorus,5220812.492,4827618.717
Rubus chamaemorus,4273302.242,4078421.073
Rubus chamaemorus,4324254.204,4068465.862
Rubus chamaemorus,4669803.307,4304616.64
Rubus chamaemorus,4884079.204000001,5167656.669
Rubus chamaemorus,4251128.404,4042419.907
Rubus chamaemorus,4499893.818,4747997.756
Rubus chamaemorus,5132811.859,4209075.635
Rubus chamaemorus,4354532.35,4328798.677
Rubus chamaemorus,4415139.402,4598254.382
Rubus chamaemorus,4879915.45,5195468.924
Rubus chamaemorus,5101477.93,4282491.85
Rubus chamaemorus,4458157.234,4109453.787
Rubus chamaemorus,4863973.61,5247699.729
Rubus chamaemorus,5152873.799,5017292.462
Rubus chamaemorus,4309517.206,4309198.406
Rubus chamaemorus,4540206.599,4708132.81
Rubus chamaemorus,4153263.149,4315499.665
Rubus chamaemorus,4627855.963,4378885.964
Rubus chamaemorus,5100356.154,4342021.412
Rubus chamaemorus,4408329.295,4343761.626
Rubus chamaemorus,4908318.919,5140458.334000001
Rubus chamaemorus,5151562.363,4230133.104
Rubus chamaemorus,4586083.744,4001798.827
Rubus chamaemorus,4375003.806,4230782.017
Rubus chamaemorus,4302925.035,4151302.48
Rubus chamaemorus,4292486.86,4352420.363
Rubus chamaemorus,4473613.523,4461538.962
Rubus chamaemorus,4262418.602,4103731.182
Rubus chamaemorus,4853319.124,5281601.991
Rubus chamaemorus,5046386.172,4475911.358
Rubus chamaemorus,5109709.976,4235039.254
Rubus chamaemorus,5224094.471,4674841.989
Rubus chamaemorus,5131614.744000001,4821732.503
Rubus chamaemorus,5229932.041,4359865.434
Rubus chamaemorus,4381263.198,4345434.794
Rubus chamaemorus,4697532.955,5225455.823
Rubus chamaemorus,4260804.65,4158734.999
Rubus chamaemorus,5005425.119000001,5304399.217
Rubus chamaemorus,4227172.966,4081826.88
Rubus chamaemorus,4827168.384,5245303.677
Rubus chamaemorus,4422621.036,6155813.009
Rubus chamaemorus,4465532.206,4284429.114
Rubus chamaemorus,4451255.417,4210252.881
Rubus chamaemorus,4953633.516000001,5141631.222
Rubus chamaemorus,4360563.077,4226795.889
Rubus chamaemorus,5068039.487,4224656.71
Rubus chamaemorus,5016974.985,4539595.502
Rubus chamaemorus,4543129.83,4303223.455
Rubus chamaemorus,4264727.05,4042423.267
Rubus chamaemorus,4921118.349,5020955.922
Rubus chamaemorus,5202335.521,4139367.24
Rubus chamaemorus,4466258.979,4820325.355
Rubus chamaemorus,4430605.443,4525615.415
Rubus chamaemorus,4938005.954,5203341.154
Rubus chamaemorus,5147438.837,4224814.332
Rubus chamaemorus,4800914.656,4985642.533000001
Rubus chamaemorus,4283912.288,4351931.374
Rubus chamaemorus,4632858.299,5175404.64
Rubus chamaemorus,4357743.257,4220125.997
Rubus chamaemorus,4763520.254,5163210.624
Rubus chamaemorus,4757942.642,4609035.167
Rubus chamaemorus,5030364.107,4831258.986
Rubus chamaemorus,4954530.343,4267349.683
Rubus chamaemorus,4480235.277,4217466.161
Rubus chamaemorus,4222387.81,4160478.742
Rubus chamaemorus,4788907.724,5158576.219
Rubus chamaemorus,5282317.487,4689216.119
Rubus chamaemorus,5101427.39,5371688.784
Rubus chamaemorus,5099075.679,4279830.597
Rubus chamaemorus,4468019.222,5012894.408
Rubus chamaemorus,4261589.518,4107178.739
Rubus chamaemorus,4425444.385,4245619.067
Rubus chamaemorus,4481280.975,5024510.664
Rubus chamaemorus,4260877.155,4468674.153
Rubus chamaemorus,4247332.613,4206400.43
Rubus chamaemorus,5057160.515,4930596.017
Rubus chamaemorus,4996178.285,4241121.456
Rubus chamaemorus,4414030.247,4319261.192
Rubus chamaemorus,4943506.508,4833386.205999999
Rubus chamaemorus,4880213.651,5195803.56
Rubus chamaemorus,5056441.312,4737281.036
Rubus chamaemorus,4359034.135,4177673.869
Rubus chamaemorus,4432403.683,4663767.927
Rubus chamaemorus,4328489.43,4225271.09
Rubus chamaemorus,4559784.334,4424739.27
Rubus chamaemorus,5112886.674,4329679.12
Rubus chamaemorus,4499265.198,4602202.664
Rubus chamaemorus,4481552.525,4734186.253
Rubus chamaemorus,4083723.694,4218649.166
Rubus chamaemorus,4900566.521000001,5250527.616999999
Rubus chamaemorus,5061372.471,4329184.613
Rubus chamaemorus,5106218.25,5371928.071
Rubus chamaemorus,4582119.776,4715432.678
Rubus chamaemorus,4819467.343,5003699.428
Rubus chamaemorus,4410307.588,4160521.49
