species,longitude,latitude
Rubus chamaemorus,4163860.832,4370891.432
Rubus chamaemorus,4358851.944,4437866.407
Rubus chamaemorus,5085947.931,4231184.689
Rubus chamaemorus,4372502.782,4140554.892
Rubus chamaemorus,5209103.087,4799852.626
Rubus chamaemorus,4895687.668,4874124.207
Rubus chamaemorus,4191750.893,3902670.762
Rubus chamaemorus,4215420.405,4019365.064
Rubus chamaemorus,5289798.483,3961806.831
Rubus chamaemorus,4467380.322,4144974.789
Rubus chamaemorus,4716351.373,5233248.428
Rubus chamaemorus,5292436.479,3950951.654
Rubus chamaemorus,5110804.42,4094234.348
Rubus chamaemorus,4781067.542,4895428.205
Rubus chamaemorus,4143948.8769999994,4014173.364
Rubus chamaemorus,4166601.766,4383883.005
Rubus chamaemorus,4237612.068,4413341.921
Rubus chamaemorus,5004944.688,5154388.011000001
Rubus chamaemorus,5380712.204,4604616.512
Rubus chamaemorus,4398850.35,4220902.046
Rubus chamaemorus,4121662.593,4258827.295
Rubus chamaemorus,4557121.859,3983249.734
Rubus chamaemorus,4576186.754,4880832.864
Rubus chamaemorus,4828548.384,5250436.865000001
Rubus chamaemorus,4939065.567,4984885.066
Rubus chamaemorus,4899993.911,5356458.385
Rubus chamaemorus,4336841.316,4355589.609
Rubus chamaemorus,4512618.135,5081006.951
Rubus chamaemorus,5057987.64,5032509.452
Rubus chamaemorus,5098317.419,4282735.308
Rubus chamaemorus,4476778.195,4035530.535
Rubus chamaemorus,4637836.541,3793360.147
Rubus chamaemorus,4204468.609,4269372.697
Rubus chamaemorus,5186154.586,4385026.714
Rubus chamaemorus,4445182.794,4976200.652
Rubus chamaemorus,4506921.178,4649523.595
Rubus chamaemorus,4470496.995,4998847.07
Rubus chamaemorus,4994069.829,4215429.162
Rubus chamaemorus,4670820.008,5191956.933000001
Rubus chamaemorus,4553206.448,5107229.037
Rubus chamaemorus,5080268.641000001,4241111.801
Rubus chamaemorus,5055036.147,4843143.447999999
Rubus chamaemorus,5257804.537,4699656.814
Rubus chamaemorus,4460774.023,3994362.609
Rubus chamaemorus,5132803.207,4209075.512
Rubus chamaemorus,4549952.801,5093976.019
Rubus chamaemorus,4460208.86,4791766.312
Rubus chamaemorus,5116836.118,4312616.194
Rubus chamaemorus,4153582.816,4315525.365
Rubus chamaemorus,5106264.144,4085687.988
Rubus chamaemorus,4680264.263,5136275.773
Rubus chamaemorus,5012617.199,5297304.403
Rubus chamaemorus,5187684.328,4916762.336999999
Rubus chamaemorus,4321039.412,4231618.231
Rubus chamaemorus,4679928.993,5136411.885
Rubus chamaemorus,4328401.052,4077385.101
Rubus chamaemorus,4836482.179999999,5196120.67
Rubus chamaemorus,4941425.633000001,4823214.478
Rubus chamaemorus,4823640.477,4759298.12
Rubus chamaemorus,5092067.403,4322423.192
Rubus chamaemorus,4464269.283,4284415.563
Rubus chamaemorus,4850020.97,5190275.255
Rubus chamaemorus,4875547.568,5170946.856
Rubus chamaemorus,4777436.119,5306025.07
Rubus chamaemorus,4417331.164,4641702.789
Rubus chamaemorus,4513189.965,4137937.729
Rubus chamaemorus,5078859.887,5227995.586000001
Rubus chamaemorus,5089029.771,4239171.208
Rubus chamaemorus,4913747.375,5168667.357
Rubus chamaemorus,4203808.533,4062854.693
Rubus chamaemorus,4360437.71,4155144.625
Rubus chamaemorus,4550741.606,4111935.416
Rubus chamaemorus,4499841.375,4118769.913
Rubus chamaemorus,4960666.678,4449601.349
Rubus chamaemorus,4485515.997,4659512.929
Rubus chamaemorus,4955212.191,5250777.262
Rubus chamaemorus,4083748.673,4218332.084
Rubus chamaemorus,4413382.465,4483912.9
Rubus chamaemorus,4690729.846,4680035.188
Rubus chamaemorus,4605472.599,4153845.7639999995
Rubus chamaemorus,4990467.703,4846284.168
Rubus chamaemorus,4314130.081,4049015.6020000004
Rubus chamaemorus,4560382.964,4882349.284
Rubus chamaemorus,4646898.306,4781731.195
Rubus chamaemorus,5177960.291000001,4927452.608
Rubus chamaemorus,5146644.035,4936033.576
Rubus chamaemorus,4559336.039,4138630.152
Rubus chamaemorus,5108317.353,4200657.675
Rubus chamaemorus,4684408.675,4324553.451
Rubus chamaemorus,4176907.27,4040715.549
Rubus chamaemorus,4552868.925,5085988.399
Rubus chamaemorus,5084688.25,4236026.767
Rubus chamaemorus,5024195.560999999,4678397.799
Rubus chamaemorus,5339609.416999999,3965675.512
Rubus chamaemorus,4884686.97,5184764.710999999
Rubus chamaemorus,5307052.059999999,3937189.327
Rubus chamaemorus,4427920.492,4335198.8
Rubus chamaemorus,5115869.384,4223770.647
Rubus chamaemorus,4511240.556,4095422.676
Rubus chamaemorus,4558155.024,3804770.445
Rubus chamaemorus,5107925.787,4293380.104
Rubus chamaemorus,4548949.636,4522736.99
Rubus chamaemorus,4117415.902,4270910.112
Rubus chamaemorus,5034649.088,4861147.62
Rubus chamaemorus,4464581.261,4166407.879
Rubus chamaemorus,4426125.005,4469275.812
Rubus chamaemorus,4529175.286,4382346.681
Rubus chamaemorus,4713765.202,4206847.669
Rubus chamaemorus,4412378.353,4313361.672
Rubus chamaemorus,4555919.166,4043356.132
Rubus chamaemorus,5079086.731,4237723.553
Rubus chamaemorus,4391641.09,4081384.421
Rubus chamaemorus,5070457.197,4652987.48
